cat_crb,cat_fert,cat_ccr,tillage,climBeckGroup,area,SOC_mean,yield,ndm_loss_mean,nloss_kgha_mean,ndm_kgha_mean
BURN,MIFNOF,NOCATCH,TILL_L,temp,2672395,92.97,4.98,13499.4891891892,3.63043123360175,9.51691470286447
BURN,MIFNOF,NOCATCH,TILL_L,trop,2314,19.69,1.76,254.225,1.27183425362137,18.6954919030551
INC,HIFHOF,CATCH,TILL_H,oth,594887,29.15,13.26,832.532193732194,384.72342599605,810.955524058685
INC,HIFHOF,CATCH,TILL_H,stme,1082053,74.45,11.81,494.533681462141,47.4939099912806,369.636220100345
INC,HIFHOF,CATCH,TILL_H,temp,1676782,137.49,12.31,8599.51513353116,669.652195643229,2086.1862358407
INC,HIFHOF,CATCH,TILL_H,trop,2013312,63.97,10.33,3047.62778904665,65.6508622665892,239.625728853938
INC,HIFHOF,CATCH,TILL_M,oth,667242,45.84,9.96,750.493046357616,61.0027838038625,573.860093195396
INC,HIFHOF,CATCH,TILL_M,stme,250677,93.1,7.73,764.937457044674,65.6715255212879,232.609891685333
INC,HIFHOF,CATCH,TILL_M,temp,356038,138.96,8.91,4494.97866108787,89.4672486768443,167.685738664495
INC,HIFHOF,CATCH,TILL_M,trop,474736,51.44,9.39,5135.35458333333,103.961698662468,170.440393121403
INC,HIFHOF,CATCH,TILL_L,oth,13851,24.78,2.81,2189.7,9.30031290256931,348.138585260387
INC,HIFHOF,CATCH,TILL_L,stme,555816,65.82,4.78,975.164864864865,228.296290816196,917.3625628454
INC,HIFHOF,CATCH,TILL_L,temp,15085,126.85,4.58,18491,278.245860460577,488.981918882126
INC,HIFHOF,CATCH,TILL_L,trop,71197,52.92,3.64,3685.42045454545,10.8841876136991,186.21296763854
INC,HIFHOF,NOCATCH,TILL_H,oth,5417483,48.81,10.44,2364.32789943228,162.285287598815,1024.11190810752
INC,HIFHOF,NOCATCH,TILL_H,stme,1724755,85.8,10.64,2131.3186695279,90.3593796488697,481.74344402563
INC,HIFHOF,NOCATCH,TILL_H,temp,8062132,137.18,10.99,10339.8430009149,282.338242926132,795.982964061181
INC,HIFHOF,NOCATCH,TILL_H,trop,2444366,59.95,9.85,2538.10513447433,108.364616642104,238.147226799752
INC,HIFHOF,NOCATCH,TILL_M,oth,4397523,59.84,6.83,3185.212763596,48.722093554998,275.646283261441
INC,HIFHOF,NOCATCH,TILL_M,stme,891983,110.06,7.32,1911.48995137763,96.3386035857408,256.609873946806
INC,HIFHOF,NOCATCH,TILL_M,temp,398489,135.06,7.22,2311.2321192053,71.9552747987937,157.753294066004
INC,HIFHOF,NOCATCH,TILL_M,trop,941910,58.86,6.19,1451.08322580645,52.3352827447671,248.064494862744
INC,HIFHOF,NOCATCH,TILL_L,oth,249461,37.09,4.46,3876.93384615385,16.6501344436608,199.918181203054
INC,HIFHOF,NOCATCH,TILL_L,stme,350387,108.05,4.75,2713.83835616438,349.169794922132,860.754444191722
INC,HIFHOF,NOCATCH,TILL_L,temp,137757,135.88,4.51,34120.6245762712,95.2193558428876,465.186647227423
INC,HIFHOF,NOCATCH,TILL_L,trop,127945,43.93,2.54,1874.99655172414,8.39586531639064,248.382608395
INC,HIFNOF,CATCH,TILL_H,oth,1566424,55.26,11.35,3290.937,2.9987784233993,14.5614738336354
INC,HIFNOF,CATCH,TILL_H,stme,2964453,96.09,12,11060.1169230769,11.1901961295384,13.3478539341407
INC,HIFNOF,CATCH,TILL_H,temp,970805,130.69,11.89,3277.64129032258,6.42941868420098,8.23057699250566
INC,HIFNOF,CATCH,TILL_H,trop,3809708,71.05,11.63,1406.76559766764,5.9848669742688,14.6583699220115
INC,HIFNOF,CATCH,TILL_M,oth,84164,55.78,10.35,4326.03430656934,1.76345182853566,14.1850930050412
INC,HIFNOF,CATCH,TILL_M,stme,390722,98.37,10.39,4825.11132075472,3.80877921131009,15.3149780223795
INC,HIFNOF,CATCH,TILL_M,temp,176585,142.55,8.49,335.168867924528,6.44388780093555,14.0413720691773
INC,HIFNOF,CATCH,TILL_M,trop,351659,83.3,10.97,3524.47256637168,7.73395664503455,25.0847511914009
INC,HIFNOF,CATCH,TILL_L,oth,286740,49.58,3.77,12714.1114285714,8.0007293141955,20.3843054867256
INC,HIFNOF,CATCH,TILL_L,stme,72858,79.24,4.86,24137.9395833333,15.612089621669,24.0507789118786
INC,HIFNOF,CATCH,TILL_L,temp,239178,201.33,3.58,1527.96666666667,1.23942485155598,8.94183161224697
INC,HIFNOF,CATCH,TILL_L,trop,181,43.12,3.73,1136.3,2.89552316393049,35.6671985615903
INC,HIFNOF,NOCATCH,TILL_H,oth,18549536,58.3,10.49,14633.6141566265,6.10784254497319,16.1975690036159
INC,HIFNOF,NOCATCH,TILL_H,stme,26620978,84.55,9.82,12913.6299309286,6.041748052017,14.8698477533369
INC,HIFNOF,NOCATCH,TILL_H,temp,39108322,139.96,11.06,13641.3680773882,5.98571451450576,14.1519507776771
INC,HIFNOF,NOCATCH,TILL_H,trop,1256917,63.14,10.58,2010.85666666667,11.759059200482,18.5955836335739
INC,HIFNOF,NOCATCH,TILL_M,oth,17187112,60.21,9.95,23961.7845648604,8.00267648954806,18.1886548721155
INC,HIFNOF,NOCATCH,TILL_M,stme,55838043,80.22,9.55,15858.2705408516,5.49048180771609,17.4679589799029
INC,HIFNOF,NOCATCH,TILL_M,temp,437714,127.02,8.74,28796.0803030303,6.46369888627103,21.5221987429385
INC,HIFNOF,NOCATCH,TILL_M,trop,398023,58.08,9.6,3061.34596774194,12.1964828505535,20.58191673183
INC,HIFNOF,NOCATCH,TILL_L,oth,1305831,56.33,4.44,51809.5992537313,7.88523359112592,18.6439649540182
INC,HIFNOF,NOCATCH,TILL_L,stme,2366151,93.29,4.5,18345.3305263158,5.90776567571674,18.9049016527533
INC,HIFNOF,NOCATCH,TILL_L,temp,7700604,123.07,5.52,46747.4964285714,7.371871157941,14.1634502491326
INC,HIFNOF,NOCATCH,TILL_L,trop,69,43.12,2.45,1136.3,2.89552316393049,35.6671985615903
INC,MIFHOF,CATCH,TILL_H,oth,205408,26.26,8.92,85.6646017699115,4.34187899970027,59.2293426316695
INC,MIFHOF,CATCH,TILL_H,stme,1083589,63.81,7.27,2037.87027027027,6.83192158867953,57.7983404847656
INC,MIFHOF,CATCH,TILL_H,temp,527430,69.72,11.74,6092.70597014925,18.3220227068025,45.2195482782315
INC,MIFHOF,CATCH,TILL_H,trop,969836,43.17,10.07,2025.82317596567,15.2481511348665,62.5712590760243
INC,MIFHOF,CATCH,TILL_M,oth,180392,35.04,8.14,97.3375,5.77117211902805,55.7529046429519
INC,MIFHOF,CATCH,TILL_M,stme,504045,67.89,5.93,1184.6345971564,7.0151498906827,62.3282697900009
INC,MIFHOF,CATCH,TILL_M,temp,633448,75.11,7.81,4798.51097560976,19.9434134899977,51.1057838285045
INC,MIFHOF,CATCH,TILL_M,trop,543663,32.37,7.5,2274.46111111111,8.32227729522093,59.7440282007145
