gaul_name0;gaul_asap0_id;fao_country;fao_country_code
Viet Nam;134;Viet Nam;237
West Bank;75;Palestine;299
Western Sahara;123;Western Sahara;205
Yemen;164;Yemen;249
Zambia;111;Zambia;251
Zimbabwe;218;Zimbabwe;181
Samoa;86;American Samoa;5
;;Bermuda;17
United States Virgin Islands;55;British Virgin Islands;239
Cape Verde;15;Cabo Verde;35
China;62;China, Macao SAR;128
;;Cook Islands;47
Czech Republic;207;Czechia;167
South Africa;141;Eswatini;209
;;Maldives;132
Micronesia (Federated States of);44;Marshall Islands;127
Antigua and Barbuda;64;Montserrat;142
Micronesia (Federated States of);44;Nauru;148
The former Yugoslav Republic of Macedonia;106;North Macedonia;154
Antigua and Barbuda;64;Saint Kitts and Nevis;188
Saint Pierre et Miquelon;9;Saint Pierre and Miquelon;190
;;Seychelles;196
;;Tokelau;218
;;Wallis and Futuna Islands;243
Antigua and Barbuda;64;Antigua and Barbuda;8
Barbados;17;Barbados;14
Cayman Islands;18;Cayman Islands;36
French Polynesia;56;French Polynesia;70
Kiribati;47;Kiribati;83
Grenada;24;Grenada;86
Guam;28;Guam;88
Malta;40;Malta;134
Martinique;177;Martinique;135
Mauritius;149;Mauritius;137
Micronesia (Federated States of);44;Micronesia (Federated States of);145
Niue;37;Niue;160
Mauritius;149;Réunion;182
Saint Lucia;10;Saint Lucia;189
Saint Vincent and the Grenadines;11;Saint Vincent and the Grenadines;191
Tonga;31;Tonga;219
Samoa;86;Tuvalu;227
Samoa;86;Samoa;244
