country_code,country,crop_code,crop_name,Element,Unit,Y2018
2,Afghanistan,15,Wheat,Area harvested,ha,1635000
2,Afghanistan,15,Wheat,Production,tonnes,3613300
2,Afghanistan,1817,Cereals (Rice Milled Eqv),Area harvested,ha,1912634
2,Afghanistan,1817,Cereals (Rice Milled Eqv),Production,tonnes,4023293
2,Afghanistan,1717,"Cereals, Total",Area harvested,ha,1912634
2,Afghanistan,1717,"Cereals, Total",Production,tonnes,4140568
2,Afghanistan,1804,"Citrus Fruit, Total",Area harvested,ha,1219
2,Afghanistan,1804,"Citrus Fruit, Total",Production,tonnes,7510
2,Afghanistan,1814,"Coarse Grain, Total",Area harvested,ha,160095
2,Afghanistan,1814,"Coarse Grain, Total",Production,tonnes,175091
2,Afghanistan,1753,Fibre Crops Primary,Area harvested,ha,
2,Afghanistan,1753,Fibre Crops Primary,Production,tonnes,
2,Afghanistan,1738,Fruit Primary,Area harvested,ha,236708
2,Afghanistan,1738,Fruit Primary,Production,tonnes,2174976
2,Afghanistan,1731,Oilcrops,Area harvested,ha,19911
2,Afghanistan,1731,Oilcrops,Production,tonnes,67315
2,Afghanistan,1841,"Oilcrops, Cake Equivalent",Area harvested,ha,
2,Afghanistan,1841,"Oilcrops, Cake Equivalent",Production,tonnes,
2,Afghanistan,1732,"Oilcrops, Oil Equivalent",Area harvested,ha,
2,Afghanistan,1732,"Oilcrops, Oil Equivalent",Production,tonnes,
2,Afghanistan,1726,"Pulses, Total",Area harvested,ha,91248
2,Afghanistan,1726,"Pulses, Total",Production,tonnes,61778
2,Afghanistan,1720,"Roots and Tubers, Total",Area harvested,ha,32400
2,Afghanistan,1720,"Roots and Tubers, Total",Production,tonnes,615684
2,Afghanistan,1729,"Treenuts, Total",Area harvested,ha,25968
2,Afghanistan,1729,"Treenuts, Total",Production,tonnes,49399
2,Afghanistan,1735,Vegetables Primary,Area harvested,ha,81082
2,Afghanistan,1735,Vegetables Primary,Production,tonnes,742001
3,Albania,515,Apples,Area harvested,ha,4294
3,Albania,515,Apples,Production,tonnes,108375
3,Albania,526,Apricots,Area harvested,ha,337
3,Albania,526,Apricots,Production,tonnes,5139
3,Albania,44,Barley,Area harvested,ha,3397
3,Albania,44,Barley,Production,tonnes,9655
3,Albania,176,"Beans, dry",Area harvested,ha,13373
3,Albania,176,"Beans, dry",Production,tonnes,24542
3,Albania,414,"Beans, green",Area harvested,ha,883
3,Albania,414,"Beans, green",Production,tonnes,11949
3,Albania,181,"Broad beans, horse beans, dry",Area harvested,ha,169
3,Albania,181,"Broad beans, horse beans, dry",Production,tonnes,207
3,Albania,358,Cabbages and other brassicas,Area harvested,ha,1733
3,Albania,358,Cabbages and other brassicas,Production,tonnes,52857
3,Albania,426,Carrots and turnips,Area harvested,ha,325
3,Albania,426,Carrots and turnips,Production,tonnes,10236
3,Albania,393,Cauliflowers and broccoli,Area harvested,ha,220
3,Albania,393,Cauliflowers and broccoli,Production,tonnes,4648
3,Albania,531,Cherries,Area harvested,ha,2120
3,Albania,531,Cherries,Production,tonnes,19210
3,Albania,530,"Cherries, sour",Area harvested,ha,3131
3,Albania,530,"Cherries, sour",Production,tonnes,18366
3,Albania,220,Chestnut,Area harvested,ha,2406
3,Albania,220,Chestnut,Production,tonnes,5242
3,Albania,401,"Chillies and peppers, green",Area harvested,ha,2960
3,Albania,401,"Chillies and peppers, green",Production,tonnes,81317
3,Albania,767,Cotton lint,Production,tonnes,270
3,Albania,329,Cottonseed,Production,tonnes,540
3,Albania,397,Cucumbers and gherkins,Area harvested,ha,2576
3,Albania,397,Cucumbers and gherkins,Production,tonnes,120351
3,Albania,577,Dates,Area harvested,ha,482
3,Albania,577,Dates,Production,tonnes,13423
3,Albania,399,Eggplants (aubergines),Area harvested,ha,1168
3,Albania,399,Eggplants (aubergines),Production,tonnes,31491
3,Albania,569,Figs,Area harvested,ha,1482
3,Albania,569,Figs,Production,tonnes,24448
3,Albania,512,"Fruit, citrus nes",Area harvested,ha,0
3,Albania,512,"Fruit, citrus nes",Production,tonnes,20
3,Albania,619,"Fruit, fresh nes",Area harvested,ha,105
3,Albania,619,"Fruit, fresh nes",Production,tonnes,3940
3,Albania,541,"Fruit, stone nes",Area harvested,ha,
3,Albania,541,"Fruit, stone nes",Production,tonnes,
3,Albania,406,Garlic,Area harvested,ha,905
3,Albania,406,Garlic,Production,tonnes,13696
3,Albania,560,Grapes,Area harvested,ha,10179
3,Albania,560,Grapes,Production,tonnes,184832
3,Albania,677,Hops,Area harvested,ha,2525
3,Albania,677,Hops,Production,tonnes,1937
3,Albania,407,"Leeks, other alliaceous vegetables",Area harvested,ha,1519
3,Albania,407,"Leeks, other alliaceous vegetables",Production,tonnes,35076
3,Albania,497,Lemons and limes,Area harvested,ha,580
3,Albania,497,Lemons and limes,Production,tonnes,3768
3,Albania,372,Lettuce and chicory,Area harvested,ha,1345
3,Albania,372,Lettuce and chicory,Production,tonnes,19487
3,Albania,56,Maize,Area harvested,ha,54115
3,Albania,56,Maize,Production,tonnes,391104
3,Albania,568,"Melons, other (inc.cantaloupes)",Area harvested,ha,1560
3,Albania,568,"Melons, other (inc.cantaloupes)",Production,tonnes,41764
3,Albania,449,Mushrooms and truffles,Area harvested,ha,
3,Albania,449,Mushrooms and truffles,Production,tonnes,100
3,Albania,234,Nuts nes,Area harvested,ha,780
3,Albania,234,Nuts nes,Production,tonnes,7954
3,Albania,75,Oats,Area harvested,ha,16550
3,Albania,75,Oats,Production,tonnes,34893
3,Albania,257,"Oil, palm",Production,tonnes,
3,Albania,430,Okra,Area harvested,ha,717
3,Albania,430,Okra,Production,tonnes,8759
3,Albania,260,Olives,Area harvested,ha,46378
3,Albania,260,Olives,Production,tonnes,117573
3,Albania,403,"Onions, dry",Area harvested,ha,5149
3,Albania,403,"Onions, dry",Production,tonnes,100034
3,Albania,402,"Onions, shallots, green",Area harvested,ha,1820
3,Albania,402,"Onions, shallots, green",Production,tonnes,38760
3,Albania,490,Oranges,Area harvested,ha,227
3,Albania,490,Oranges,Production,tonnes,10779
3,Albania,534,Peaches and nectarines,Area harvested,ha,1229
3,Albania,534,Peaches and nectarines,Production,tonnes,19472
3,Albania,521,Pears,Area harvested,ha,733
3,Albania,521,Pears,Production,tonnes,13565
3,Albania,417,"Peas, green",Area harvested,ha,445
3,Albania,417,"Peas, green",Production,tonnes,4828
3,Albania,536,Plums and sloes,Area harvested,ha,2537
3,Albania,536,Plums and sloes,Production,tonnes,41241
3,Albania,116,Potatoes,Area harvested,ha,9726
3,Albania,116,Potatoes,Production,tonnes,254543
3,Albania,211,Pulses nes,Area harvested,ha,1081
3,Albania,211,Pulses nes,Production,tonnes,711
3,Albania,394,"Pumpkins, squash and gourds",Area harvested,ha,642
3,Albania,394,"Pumpkins, squash and gourds",Production,tonnes,18483
3,Albania,523,Quinces,Area harvested,ha,860
3,Albania,523,Quinces,Production,tonnes,4633
3,Albania,27,"Rice, paddy",Area harvested,ha,0
3,Albania,27,"Rice, paddy",Production,tonnes,0
3,Albania,71,Rye,Area harvested,ha,976
3,Albania,71,Rye,Production,tonnes,2250
3,Albania,328,Seed cotton,Area harvested,ha,740
3,Albania,328,Seed cotton,Production,tonnes,820
3,Albania,83,Sorghum,Area harvested,ha,0
3,Albania,83,Sorghum,Production,tonnes,0
3,Albania,236,Soybeans,Area harvested,ha,253
3,Albania,236,Soybeans,Production,tonnes,744
3,Albania,723,Spices nes,Area harvested,ha,418
3,Albania,723,Spices nes,Production,tonnes,373
3,Albania,373,Spinach,Area harvested,ha,1410
3,Albania,373,Spinach,Production,tonnes,20552
3,Albania,544,Strawberries,Area harvested,ha,111
3,Albania,544,Strawberries,Production,tonnes,4393
3,Albania,157,Sugar beet,Area harvested,ha,702
3,Albania,157,Sugar beet,Production,tonnes,27485
3,Albania,267,Sunflower seed,Area harvested,ha,371
3,Albania,267,Sunflower seed,Production,tonnes,846
3,Albania,495,"Tangerines, mandarins, clementines, satsumas",Area harvested,ha,811
3,Albania,495,"Tangerines, mandarins, clementines, satsumas",Production,tonnes,30933
3,Albania,826,"Tobacco, unmanufactured",Area harvested,ha,1004
3,Albania,826,"Tobacco, unmanufactured",Production,tonnes,1693
3,Albania,388,Tomatoes,Area harvested,ha,6587
3,Albania,388,Tomatoes,Production,tonnes,288626
3,Albania,463,"Vegetables, fresh nes",Area harvested,ha,1315
3,Albania,463,"Vegetables, fresh nes",Production,tonnes,19298
3,Albania,420,"Vegetables, leguminous nes",Area harvested,ha,19
3,Albania,420,"Vegetables, leguminous nes",Production,tonnes,93
3,Albania,205,Vetches,Area harvested,ha,6105
3,Albania,205,Vetches,Production,tonnes,2026
3,Albania,567,Watermelons,Area harvested,ha,5681
3,Albania,567,Watermelons,Production,tonnes,239533
3,Albania,15,Wheat,Area harvested,ha,65072
3,Albania,15,Wheat,Production,tonnes,240294
3,Albania,1817,Cereals (Rice Milled Eqv),Area harvested,ha,140110
3,Albania,1817,Cereals (Rice Milled Eqv),Production,tonnes,678196
3,Albania,1717,"Cereals, Total",Area harvested,ha,140110
3,Albania,1717,"Cereals, Total",Production,tonnes,678196
3,Albania,1804,"Citrus Fruit, Total",Area harvested,ha,1618
3,Albania,1804,"Citrus Fruit, Total",Production,tonnes,45500
3,Albania,1814,"Coarse Grain, Total",Area harvested,ha,75038
3,Albania,1814,"Coarse Grain, Total",Production,tonnes,437902
3,Albania,1753,Fibre Crops Primary,Area harvested,ha,
3,Albania,1753,Fibre Crops Primary,Production,tonnes,
3,Albania,1738,Fruit Primary,Area harvested,ha,36459
3,Albania,1738,Fruit Primary,Production,tonnes,787834
3,Albania,1731,Oilcrops,Area harvested,ha,47002
3,Albania,1731,Oilcrops,Production,tonnes,119703
3,Albania,1841,"Oilcrops, Cake Equivalent",Area harvested,ha,
3,Albania,1841,"Oilcrops, Cake Equivalent",Production,tonnes,
3,Albania,1732,"Oilcrops, Oil Equivalent",Area harvested,ha,
3,Albania,1732,"Oilcrops, Oil Equivalent",Production,tonnes,
3,Albania,1726,"Pulses, Total",Area harvested,ha,20728
3,Albania,1726,"Pulses, Total",Production,tonnes,27486
3,Albania,1720,"Roots and Tubers, Total",Area harvested,ha,9726
3,Albania,1720,"Roots and Tubers, Total",Production,tonnes,254543
3,Albania,1729,"Treenuts, Total",Area harvested,ha,3186
3,Albania,1729,"Treenuts, Total",Production,tonnes,13196
3,Albania,1735,Vegetables Primary,Area harvested,ha,31738
3,Albania,1735,Vegetables Primary,Production,tonnes,880641
4,Algeria,221,"Almonds, with shell",Area harvested,ha,43043
4,Algeria,221,"Almonds, with shell",Production,tonnes,57213
4,Algeria,515,Apples,Area harvested,ha,39034
4,Algeria,515,Apples,Production,tonnes,487808
4,Algeria,526,Apricots,Area harvested,ha,35500
4,Algeria,526,Apricots,Production,tonnes,242243
4,Algeria,366,Artichokes,Area harvested,ha,5784
4,Algeria,366,Artichokes,Production,tonnes,124659
4,Algeria,486,Bananas,Area harvested,ha,16
4,Algeria,486,Bananas,Production,tonnes,319
4,Algeria,44,Barley,Area harvested,ha,1277512
4,Algeria,44,Barley,Production,tonnes,1957327
4,Algeria,176,"Beans, dry",Area harvested,ha,2843
4,Algeria,176,"Beans, dry",Production,tonnes,2811
4,Algeria,414,"Beans, green",Area harvested,ha,11610
4,Algeria,414,"Beans, green",Production,tonnes,93184
4,Algeria,181,"Broad beans, horse beans, dry",Area harvested,ha,40222
4,Algeria,181,"Broad beans, horse beans, dry",Production,tonnes,54878
4,Algeria,358,Cabbages and other brassicas,Area harvested,ha,4069
4,Algeria,358,Cabbages and other brassicas,Production,tonnes,107412
4,Algeria,461,Carobs,Area harvested,ha,789
4,Algeria,461,Carobs,Production,tonnes,2880
4,Algeria,426,Carrots and turnips,Area harvested,ha,17941
4,Algeria,426,Carrots and turnips,Production,tonnes,431883
4,Algeria,393,Cauliflowers and broccoli,Area harvested,ha,8090
4,Algeria,393,Cauliflowers and broccoli,Production,tonnes,207697
4,Algeria,531,Cherries,Area harvested,ha,4730
4,Algeria,531,Cherries,Production,tonnes,8818
4,Algeria,191,Chick peas,Area harvested,ha,32065
4,Algeria,191,Chick peas,Production,tonnes,38274
4,Algeria,689,"Chillies and peppers, dry",Area harvested,ha,3762
4,Algeria,689,"Chillies and peppers, dry",Production,tonnes,13793
4,Algeria,401,"Chillies and peppers, green",Area harvested,ha,22108
4,Algeria,401,"Chillies and peppers, green",Production,tonnes,651045
4,Algeria,767,Cotton lint,Production,tonnes,26
4,Algeria,329,Cottonseed,Production,tonnes,52
4,Algeria,397,Cucumbers and gherkins,Area harvested,ha,4359
4,Algeria,397,Cucumbers and gherkins,Production,tonnes,193647
4,Algeria,577,Dates,Area harvested,ha,168855
4,Algeria,577,Dates,Production,tonnes,1094700
4,Algeria,399,Eggplants (aubergines),Area harvested,ha,5978
4,Algeria,399,Eggplants (aubergines),Production,tonnes,181618
4,Algeria,569,Figs,Area harvested,ha,39356
4,Algeria,569,Figs,Production,tonnes,109214
4,Algeria,512,"Fruit, citrus nes",Area harvested,ha,476
4,Algeria,512,"Fruit, citrus nes",Production,tonnes,627
4,Algeria,619,"Fruit, fresh nes",Area harvested,ha,18461
4,Algeria,619,"Fruit, fresh nes",Production,tonnes,141070
4,Algeria,541,"Fruit, stone nes",Area harvested,ha,2305
4,Algeria,541,"Fruit, stone nes",Production,tonnes,26345
4,Algeria,603,"Fruit, tropical fresh nes",Area harvested,ha,
4,Algeria,603,"Fruit, tropical fresh nes",Production,tonnes,
4,Algeria,406,Garlic,Area harvested,ha,12945
4,Algeria,406,Garlic,Production,tonnes,202201
4,Algeria,507,Grapefruit (inc. pomelos),Area harvested,ha,93
4,Algeria,507,Grapefruit (inc. pomelos),Production,tonnes,1670
4,Algeria,560,Grapes,Area harvested,ha,69376
4,Algeria,560,Grapes,Production,tonnes,502978
4,Algeria,242,"Groundnuts, with shell",Area harvested,ha,4753
4,Algeria,242,"Groundnuts, with shell",Production,tonnes,11886
4,Algeria,497,Lemons and limes,Area harvested,ha,4516
4,Algeria,497,Lemons and limes,Production,tonnes,78798
4,Algeria,201,Lentils,Area harvested,ha,25956
4,Algeria,201,Lentils,Production,tonnes,29663
4,Algeria,56,Maize,Area harvested,ha,2250
4,Algeria,56,Maize,Production,tonnes,4142
4,Algeria,449,Mushrooms and truffles,Production,tonnes,1874
4,Algeria,75,Oats,Area harvested,ha,81140
4,Algeria,75,Oats,Production,tonnes,118018
4,Algeria,260,Olives,Area harvested,ha,431009
4,Algeria,260,Olives,Production,tonnes,860784
4,Algeria,403,"Onions, dry",Area harvested,ha,47282
4,Algeria,403,"Onions, dry",Production,tonnes,1399691
4,Algeria,402,"Onions, shallots, green",Area harvested,ha,33
4,Algeria,402,"Onions, shallots, green",Production,tonnes,365
4,Algeria,490,Oranges,Area harvested,ha,50837
4,Algeria,490,Oranges,Production,tonnes,1134194
4,Algeria,534,Peaches and nectarines,Area harvested,ha,19005
4,Algeria,534,Peaches and nectarines,Production,tonnes,190420
4,Algeria,521,Pears,Area harvested,ha,22592
4,Algeria,521,Pears,Production,tonnes,200176
4,Algeria,187,"Peas, dry",Area harvested,ha,10383
4,Algeria,187,"Peas, dry",Production,tonnes,11472
4,Algeria,417,"Peas, green",Area harvested,ha,35897
4,Algeria,417,"Peas, green",Production,tonnes,186203
4,Algeria,536,Plums and sloes,Area harvested,ha,15486
4,Algeria,536,Plums and sloes,Production,tonnes,111471
4,Algeria,116,Potatoes,Area harvested,ha,149665
4,Algeria,116,Potatoes,Production,tonnes,4653322
4,Algeria,211,Pulses nes,Area harvested,ha,355
4,Algeria,211,Pulses nes,Production,tonnes,540
4,Algeria,394,"Pumpkins, squash and gourds",Area harvested,ha,13528
4,Algeria,394,"Pumpkins, squash and gourds",Production,tonnes,388875
4,Algeria,523,Quinces,Area harvested,ha,1860
4,Algeria,523,Quinces,Production,tonnes,11693
4,Algeria,270,Rapeseed,Area harvested,ha,11402
4,Algeria,270,Rapeseed,Production,tonnes,22630
4,Algeria,27,"Rice, paddy",Area harvested,ha,150
4,Algeria,27,"Rice, paddy",Production,tonnes,313
4,Algeria,328,Seed cotton,Area harvested,ha,260
4,Algeria,328,Seed cotton,Production,tonnes,80
4,Algeria,83,Sorghum,Area harvested,ha,265
4,Algeria,83,Sorghum,Production,tonnes,3622
4,Algeria,544,Strawberries,Area harvested,ha,
4,Algeria,544,Strawberries,Production,tonnes,
4,Algeria,157,Sugar beet,Area harvested,ha,
4,Algeria,157,Sugar beet,Production,tonnes,
4,Algeria,267,Sunflower seed,Area harvested,ha,194
4,Algeria,267,Sunflower seed,Production,tonnes,88
4,Algeria,495,"Tangerines, mandarins, clementines, satsumas",Area harvested,ha,15556
4,Algeria,495,"Tangerines, mandarins, clementines, satsumas",Production,tonnes,262764
4,Algeria,826,"Tobacco, unmanufactured",Area harvested,ha,5097
4,Algeria,826,"Tobacco, unmanufactured",Production,tonnes,10686
4,Algeria,388,Tomatoes,Area harvested,ha,22323
4,Algeria,388,Tomatoes,Production,tonnes,1309745
4,Algeria,97,Triticale,Area harvested,ha,75
4,Algeria,97,Triticale,Production,tonnes,240
4,Algeria,463,"Vegetables, fresh nes",Area harvested,ha,54718
4,Algeria,463,"Vegetables, fresh nes",Production,tonnes,1121458
4,Algeria,420,"Vegetables, leguminous nes",Area harvested,ha,32645
4,Algeria,420,"Vegetables, leguminous nes",Production,tonnes,308689
4,Algeria,205,Vetches,Area harvested,ha,145
4,Algeria,205,Vetches,Production,tonnes,72
4,Algeria,567,Watermelons,Area harvested,ha,60400
4,Algeria,567,Watermelons,Production,tonnes,2095757
4,Algeria,15,Wheat,Area harvested,ha,2087003
4,Algeria,15,Wheat,Production,tonnes,3981219
4,Algeria,1817,Cereals (Rice Milled Eqv),Area harvested,ha,3448395
4,Algeria,1817,Cereals (Rice Milled Eqv),Production,tonnes,6064776
4,Algeria,1717,"Cereals, Total",Area harvested,ha,3448395
4,Algeria,1717,"Cereals, Total",Production,tonnes,6064881
4,Algeria,1804,"Citrus Fruit, Total",Area harvested,ha,71477
4,Algeria,1804,"Citrus Fruit, Total",Production,tonnes,1478053
4,Algeria,1814,"Coarse Grain, Total",Area harvested,ha,1361242
4,Algeria,1814,"Coarse Grain, Total",Production,tonnes,2083348
4,Algeria,1753,Fibre Crops Primary,Area harvested,ha,
4,Algeria,1753,Fibre Crops Primary,Production,tonnes,
4,Algeria,1738,Fruit Primary,Area harvested,ha,569242
4,Algeria,1738,Fruit Primary,Production,tonnes,6703946
4,Algeria,1731,Oilcrops,Area harvested,ha,447357
4,Algeria,1731,Oilcrops,Production,tonnes,895440
4,Algeria,1841,"Oilcrops, Cake Equivalent",Area harvested,ha,
4,Algeria,1841,"Oilcrops, Cake Equivalent",Production,tonnes,
4,Algeria,1732,"Oilcrops, Oil Equivalent",Area harvested,ha,
4,Algeria,1732,"Oilcrops, Oil Equivalent",Production,tonnes,
4,Algeria,1726,"Pulses, Total",Area harvested,ha,111968
4,Algeria,1726,"Pulses, Total",Production,tonnes,137710
4,Algeria,1720,"Roots and Tubers, Total",Area harvested,ha,149665
4,Algeria,1720,"Roots and Tubers, Total",Production,tonnes,4653322
4,Algeria,1729,"Treenuts, Total",Area harvested,ha,43043
4,Algeria,1729,"Treenuts, Total",Production,tonnes,57213
4,Algeria,1735,Vegetables Primary,Area harvested,ha,299309
4,Algeria,1735,Vegetables Primary,Production,tonnes,6910245
5,American Samoa,486,Bananas,Area harvested,ha,363
5,American Samoa,486,Bananas,Production,tonnes,844
5,American Samoa,414,"Beans, green",Area harvested,ha,39
5,American Samoa,414,"Beans, green",Production,tonnes,105
5,American Samoa,358,Cabbages and other brassicas,Area harvested,ha,88
5,American Samoa,358,Cabbages and other brassicas,Production,tonnes,223
5,American Samoa,125,Cassava,Area harvested,ha,13
5,American Samoa,125,Cassava,Production,tonnes,73
5,American Samoa,661,"Cocoa, beans",Area harvested,ha,19
5,American Samoa,661,"Cocoa, beans",Production,tonnes,1
5,American Samoa,249,Coconuts,Area harvested,ha,2396
5,American Samoa,249,Coconuts,Production,tonnes,7336
5,American Samoa,397,Cucumbers and gherkins,Area harvested,ha,61
5,American Samoa,397,Cucumbers and gherkins,Production,tonnes,289
5,American Samoa,399,Eggplants (aubergines),Area harvested,ha,36
5,American Samoa,399,Eggplants (aubergines),Production,tonnes,155
5,American Samoa,512,"Fruit, citrus nes",Production,tonnes,32
5,American Samoa,619,"Fruit, fresh nes",Area harvested,ha,
5,American Samoa,619,"Fruit, fresh nes",Production,tonnes,
5,American Samoa,446,"Maize, green",Area harvested,ha,5
5,American Samoa,446,"Maize, green",Production,tonnes,34
5,American Samoa,568,"Melons, other (inc.cantaloupes)",Area harvested,ha,5
5,American Samoa,568,"Melons, other (inc.cantaloupes)",Production,tonnes,40
5,American Samoa,402,"Onions, shallots, green",Area harvested,ha,11
5,American Samoa,402,"Onions, shallots, green",Production,tonnes,21
5,American Samoa,574,Pineapples,Production,tonnes,631
5,American Samoa,156,Sugar cane,Area harvested,ha,32
5,American Samoa,156,Sugar cane,Production,tonnes,30
5,American Samoa,136,Taro (cocoyam),Area harvested,ha,2824
5,American Samoa,136,Taro (cocoyam),Production,tonnes,10347
5,American Samoa,826,"Tobacco, unmanufactured",Area harvested,ha,
5,American Samoa,826,"Tobacco, unmanufactured",Production,tonnes,
5,American Samoa,388,Tomatoes,Area harvested,ha,33
5,American Samoa,388,Tomatoes,Production,tonnes,82
5,American Samoa,463,"Vegetables, fresh nes",Area harvested,ha,50
5,American Samoa,463,"Vegetables, fresh nes",Production,tonnes,159
5,American Samoa,137,Yams,Area harvested,ha,309
5,American Samoa,137,Yams,Production,tonnes,1102
5,American Samoa,1804,"Citrus Fruit, Total",Production,tonnes,32
5,American Samoa,1738,Fruit Primary,Area harvested,ha,368
5,American Samoa,1738,Fruit Primary,Production,tonnes,1547
5,American Samoa,1731,Oilcrops,Area harvested,ha,2396
5,American Samoa,1731,Oilcrops,Production,tonnes,7336
5,American Samoa,1841,"Oilcrops, Cake Equivalent",Area harvested,ha,
5,American Samoa,1841,"Oilcrops, Cake Equivalent",Production,tonnes,
5,American Samoa,1732,"Oilcrops, Oil Equivalent",Area harvested,ha,
5,American Samoa,1732,"Oilcrops, Oil Equivalent",Production,tonnes,
5,American Samoa,1720,"Roots and Tubers, Total",Area harvested,ha,3146
5,American Samoa,1720,"Roots and Tubers, Total",Production,tonnes,11522
5,American Samoa,1735,Vegetables Primary,Area harvested,ha,325
5,American Samoa,1735,Vegetables Primary,Production,tonnes,1069
7,Angola,486,Bananas,Area harvested,ha,123017
7,Angola,486,Bananas,Production,tonnes,3492184
7,Angola,782,"Bastfibres, other",Area harvested,ha,1251
7,Angola,782,"Bastfibres, other",Production,tonnes,829
7,Angola,176,"Beans, dry",Area harvested,ha,795077
7,Angola,176,"Beans, dry",Production,tonnes,314932
7,Angola,358,Cabbages and other brassicas,Area harvested,ha,102543
7,Angola,358,Cabbages and other brassicas,Production,tonnes,355233
7,Angola,217,"Cashew nuts, with shell",Area harvested,ha,2740
7,Angola,217,"Cashew nuts, with shell",Production,tonnes,2170
7,Angola,125,Cassava,Area harvested,ha,779682
7,Angola,125,Cassava,Production,tonnes,8659552
7,Angola,265,Castor oil seed,Area harvested,ha,16162
7,Angola,265,Castor oil seed,Production,tonnes,4113
7,Angola,661,"Cocoa, beans",Area harvested,ha,2814
7,Angola,661,"Cocoa, beans",Production,tonnes,454
